"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"10-Oct-2023","EQ","909.95","955.00","909.95","905.20","946.55","949.70","938.22","955.00","438.35","45,40,273","4,25,97,54,582.25","1,25,011"
"09-Oct-2023","EQ","917.50","928.30","891.00","928.30","902.05","905.20","911.83","938.65","438.35","24,68,269","2,25,06,30,677.00","76,926"
"06-Oct-2023","EQ","904.50","936.70","902.00","895.10","924.95","928.30","925.95","938.65","438.35","68,72,469","6,36,35,86,633.00","1,48,699"
"05-Oct-2023","EQ","867.00","902.00","863.90","863.10","900.00","895.10","882.39","938.65","438.35","27,05,895","2,38,76,67,479.65","58,721"
"04-Oct-2023","EQ","873.90","874.80","850.10","876.60","864.00","863.10","863.19","938.65","438.35","12,13,688","1,04,76,39,688.80","47,978"
"03-Oct-2023","EQ","856.00","880.25","855.00","857.70","875.00","876.60","872.81","938.65","438.35","18,16,743","1,58,56,71,335.10","61,711"
"29-Sep-2023","EQ","858.05","862.00","854.40","854.40","856.00","857.70","858.14","938.65","438.35","7,12,361","61,13,03,004.75","25,989"
"28-Sep-2023","EQ","853.20","858.00","847.20","853.20","853.00","854.40","852.56","938.65","438.35","6,73,933","57,45,68,701.10","30,554"
"27-Sep-2023","EQ","850.00","856.80","847.70","852.30","850.50","853.20","853.58","938.65","438.35","6,86,017","58,55,71,164.20","28,444"
"26-Sep-2023","EQ","845.00","856.80","842.40","848.45","850.90","852.30","851.26","938.65","438.35","8,69,703","74,03,46,389.50","31,728"
"25-Sep-2023","EQ","846.40","873.00","834.30","850.00","841.00","848.45","851.32","938.65","438.35","26,65,545","2,26,92,20,193.90","79,901"
"22-Sep-2023","EQ","845.00","854.60","835.10","841.05","848.25","850.00","845.77","938.65","438.35","10,80,524","91,38,70,325.40","43,350"
"21-Sep-2023","EQ","852.00","858.70","835.35","853.35","839.00","841.05","846.48","938.65","438.35","11,95,092","1,01,16,19,378.15","44,737"
"20-Sep-2023","EQ","861.65","863.80","850.10","873.20","852.60","853.35","855.09","938.65","438.35","14,73,808","1,26,02,34,559.15","60,538"
"18-Sep-2023","EQ","881.90","885.50","870.00","885.15","872.00","873.20","876.90","938.65","438.35","17,89,388","1,56,91,19,950.35","63,916"
"15-Sep-2023","EQ","858.00","896.20","858.00","856.55","883.50","885.15","881.80","938.65","438.35","1,03,00,254","9,08,27,18,227.00","1,30,698"
"14-Sep-2023","EQ","849.80","867.35","848.00","838.25","856.10","856.55","856.67","938.65","438.35","23,40,206","2,00,47,88,894.95","69,469"
"13-Sep-2023","EQ","868.55","877.95","825.00","864.55","839.10","838.25","840.24","938.65","438.35","40,53,655","3,40,60,38,985.75","1,27,043"
"12-Sep-2023","EQ","905.00","913.45","854.85","904.40","866.00","864.55","874.52","938.65","438.35","28,97,750","2,53,41,54,082.75","97,393"
"11-Sep-2023","EQ","920.00","921.00","896.00","905.40","901.00","904.40","904.13","938.65","438.35","21,98,944","1,98,81,39,890.05","73,886"
"08-Sep-2023","EQ","894.35","919.50","883.40","894.35","907.00","905.40","894.58","938.65","438.35","25,29,568","2,26,29,09,043.50","69,727"
"07-Sep-2023","EQ","901.00","902.35","883.00","898.80","892.25","894.35","891.87","938.65","438.35","22,03,577","1,96,53,04,291.40","63,374"
"06-Sep-2023","EQ","884.55","902.90","882.40","881.10","897.20","898.80","896.79","938.65","438.35","36,74,372","3,29,51,53,059.50","84,160"
"05-Sep-2023","EQ","867.00","889.00","863.30","856.70","886.00","881.10","873.40","938.65","438.35","27,22,237","2,37,76,02,294.40","69,104"
"04-Sep-2023","EQ","865.00","865.00","850.00","857.40","856.00","856.70","855.70","938.65","438.35","22,93,054","1,96,21,59,619.00","78,022"
"01-Sep-2023","EQ","855.40","874.75","850.60","853.90","857.90","857.40","859.03","938.65","438.35","28,57,480","2,45,46,53,002.80","83,348"
"31-Aug-2023","EQ","862.95","866.15","851.00","861.75","852.50","853.90","855.56","938.65","438.35","20,56,652","1,75,95,93,698.30","53,572"
"30-Aug-2023","EQ","860.00","868.00","853.00","852.90","861.30","861.75","859.23","938.65","438.35","48,54,891","4,17,14,83,147.10","1,10,824"
"29-Aug-2023","EQ","879.40","881.00","850.00","882.80","853.50","852.90","861.27","938.65","438.35","47,31,257","4,07,49,06,890.35","1,21,723"
"28-Aug-2023","EQ","903.15","905.30","866.40","899.20","880.00","882.80","882.57","938.65","438.35","41,82,743","3,69,15,57,105.75","1,04,152"
"25-Aug-2023","EQ","919.00","938.65","888.00","904.45","898.00","899.20","911.71","938.65","438.35","78,01,009","7,11,22,41,873.90","1,80,303"
"24-Aug-2023","EQ","926.00","931.95","898.20","904.75","907.00","904.45","915.87","931.95","438.35","69,49,762","6,36,50,90,778.05","1,60,437"
"23-Aug-2023","EQ","863.00","916.15","863.00","857.35","912.90","904.75","889.15","916.15","438.35","77,13,906","6,85,88,18,221.15","1,51,396"
"22-Aug-2023","EQ","844.55","861.95","842.75","837.95","858.00","857.35","856.21","914.95","438.35","18,90,624","1,61,87,69,877.15","44,123"
"21-Aug-2023","EQ","848.80","856.90","830.25","859.85","835.00","837.95","844.03","914.95","438.35","26,72,746","2,25,58,85,425.55","88,140"
"18-Aug-2023","EQ","865.65","874.60","853.20","865.95","857.50","859.85","864.61","914.95","438.35","22,40,424","1,93,70,94,908.95","55,151"
"17-Aug-2023","EQ","876.85","890.40","864.05","874.45","865.00","865.95","877.24","914.95","438.35","26,66,664","2,33,92,91,994.20","70,329"
"16-Aug-2023","EQ","857.70","881.00","855.80","863.80","879.00","874.45","867.35","914.95","438.35","19,21,859","1,66,69,22,628.75","54,663"
"14-Aug-2023","EQ","865.00","869.50","840.80","864.55","861.05","863.80","852.37","914.95","438.35","21,04,161","1,79,35,23,948.05","67,005"
"11-Aug-2023","EQ","858.10","873.00","853.00","858.10","864.00","864.55","865.36","914.95","438.35","36,86,481","3,19,01,47,652.70","1,18,993"
"10-Aug-2023","EQ","836.95","867.80","833.65","838.55","857.95","858.10","855.42","914.95","438.35","43,66,573","3,73,52,61,491.70","1,14,796"
"09-Aug-2023","EQ","828.80","845.90","825.05","830.65","838.00","838.55","833.42","914.95","438.35","19,80,457","1,65,05,59,823.50","52,732"
"08-Aug-2023","EQ","840.95","849.70","827.30","850.70","828.80","830.65","835.16","914.95","438.35","23,36,306","1,95,11,92,737.15","72,455"
"07-Aug-2023","EQ","865.00","887.70","835.25","796.60","851.00","850.70","855.38","914.95","438.35","1,25,17,134","10,70,69,20,839.90","2,16,185"
"04-Aug-2023","EQ","785.00","799.45","776.00","767.60","795.20","796.60","790.88","914.95","438.35","37,23,457","2,94,48,25,968.30","83,547"
"03-Aug-2023","EQ","777.30","781.55","764.15","776.10","767.50","767.60","771.78","914.95","438.35","12,56,708","96,98,99,226.50","39,040"
"02-Aug-2023","EQ","787.00","787.00","768.60","787.20","776.00","776.10","777.10","914.95","438.35","16,76,745","1,30,30,00,509.65","57,602"
"01-Aug-2023","EQ","802.80","815.90","783.20","800.40","786.75","787.20","799.09","914.95","438.35","34,29,510","2,74,04,79,003.15","79,311"
"31-Jul-2023","EQ","760.00","804.95","760.00","762.90","801.60","800.40","789.37","914.95","438.35","45,16,962","3,56,55,64,055.55","99,743"
"28-Jul-2023","EQ","779.50","779.50","755.65","779.55","763.00","762.90","765.18","914.95","438.35","30,81,901","2,35,82,13,339.20","84,073"
"27-Jul-2023","EQ","788.30","791.70","777.00","788.30","778.00","779.55","782.41","914.95","438.35","19,90,884","1,55,76,95,380.20","52,472"
"26-Jul-2023","EQ","794.75","798.00","776.00","789.60","786.50","788.30","785.41","914.95","438.35","32,14,039","2,52,43,33,897.50","88,742"
"25-Jul-2023","EQ","815.00","820.90","752.00","802.00","788.00","789.60","781.39","914.95","438.35","1,18,79,807","9,28,27,59,215.80","2,55,436"
"24-Jul-2023","EQ","840.00","857.55","796.00","844.30","808.00","802.00","825.68","914.95","438.35","83,95,335","6,93,18,49,223.45","2,42,775"
"21-Jul-2023","EQ","851.55","852.80","828.50","851.35","842.85","844.30","839.84","914.95","438.35","24,74,714","2,07,83,57,548.45","68,855"
"20-Jul-2023","EQ","843.00","855.00","830.50","842.30","850.05","851.35","844.01","914.95","438.35","19,24,170","1,62,40,11,884.85","68,416"
"19-Jul-2023","EQ","845.00","852.00","825.10","840.40","842.60","842.30","834.26","914.95","438.35","18,95,385","1,58,12,36,957.10","54,043"
