"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"15-Mar-2023","EQ","588.10","594.00","569.70","579.50","573.00","572.85","581.28","844.70","438.35","22,49,901","1,30,78,21,857.60","56,549"
"14-Mar-2023","EQ","584.50","597.50","575.80","580.75","578.00","579.50","585.69","844.70","438.35","40,49,607","2,37,18,22,264.40","79,367"
"13-Mar-2023","EQ","593.00","612.80","577.20","593.05","580.65","580.75","595.38","844.70","438.35","60,40,808","3,59,65,73,210.20","1,39,863"
"10-Mar-2023","EQ","605.40","605.40","589.10","606.05","594.50","593.05","593.31","844.70","438.35","21,19,734","1,25,76,62,060.90","79,115"
"09-Mar-2023","EQ","624.45","625.55","602.15","620.10","606.95","606.05","615.39","844.70","438.35","18,11,358","1,11,46,93,505.25","41,098"
"08-Mar-2023","EQ","624.45","625.00","613.05","625.65","619.70","620.10","619.65","844.70","438.35","16,38,938","1,01,55,68,385.65","40,406"
"06-Mar-2023","EQ","630.70","635.50","623.00","627.90","625.00","625.65","627.77","844.70","438.35","30,97,926","1,94,47,71,863.30","82,970"
"03-Mar-2023","EQ","606.45","634.00","605.40","604.40","626.20","627.90","624.41","844.70","438.35","48,81,471","3,04,80,38,749.15","93,282"
"02-Mar-2023","EQ","611.00","613.70","601.10","608.25","602.70","604.40","606.17","844.70","438.35","18,44,739","1,11,82,21,294.80","44,901"
"01-Mar-2023","EQ","600.25","615.60","600.00","597.25","610.15","608.25","609.10","844.70","438.35","39,28,587","2,39,28,88,213.60","89,951"
"28-Feb-2023","EQ","632.90","632.95","578.70","635.10","600.20","597.25","597.49","844.70","438.35","1,03,75,035","6,19,90,14,371.15","2,07,581"
"27-Feb-2023","EQ","637.80","656.30","626.85","623.50","633.50","635.10","638.99","844.70","438.35","1,07,06,527","6,84,13,65,849.95","1,89,930"
"24-Feb-2023","EQ","610.00","638.35","605.20","606.55","622.00","623.50","622.41","844.70","438.35","72,05,948","4,48,50,50,014.50","1,45,656"
"23-Feb-2023","EQ","610.00","622.00","601.30","608.35","608.35","606.55","610.51","844.70","438.35","26,70,860","1,63,05,92,181.60","64,247"
"22-Feb-2023","EQ","621.85","628.00","605.00","623.05","606.85","608.35","615.76","844.70","438.35","24,14,579","1,48,67,91,988.30","63,026"
"21-Feb-2023","EQ","632.00","636.70","616.55","630.50","623.35","623.05","626.95","844.70","438.35","23,26,949","1,45,88,71,676.90","41,836"
"20-Feb-2023","EQ","624.75","633.60","621.10","626.85","630.00","630.50","629.25","844.70","438.35","21,84,210","1,37,44,13,425.25","66,437"
"17-Feb-2023","EQ","629.00","639.90","620.65","628.90","621.95","626.85","630.55","895.95","438.35","23,76,643","1,49,85,93,441.90","52,804"
"16-Feb-2023","EQ","640.00","650.00","623.50","640.05","629.95","628.90","638.31","895.95","438.35","38,28,506","2,44,37,57,232.80","1,07,196"
"15-Feb-2023","EQ","638.00","650.00","633.35","642.70","640.00","640.05","640.55","895.95","438.35","23,00,566","1,47,36,22,029.80","61,325"
"14-Feb-2023","EQ","653.90","654.70","636.65","654.00","641.30","642.70","643.31","895.95","438.35","41,15,771","2,64,77,24,144.20","1,09,911"
"13-Feb-2023","EQ","652.00","678.70","647.70","650.55","650.95","654.00","664.95","895.95","438.35","99,23,535","6,59,86,78,835.30","2,05,256"
"10-Feb-2023","EQ","705.00","705.00","640.00","705.95","650.75","650.55","653.60","984.50","438.35","4,73,87,857","30,97,25,83,503.65","3,52,932"
"09-Feb-2023","EQ","685.00","738.70","666.50","675.95","710.50","705.95","706.74","984.50","438.35","4,55,07,244","32,16,19,96,595.50","7,34,355"
"08-Feb-2023","EQ","618.00","698.00","614.00","588.60","680.00","675.95","652.26","984.50","438.35","3,64,04,222","23,74,51,60,656.30","5,88,441"
"07-Feb-2023","EQ","558.90","669.95","556.35","558.30","589.30","588.60","604.60","984.50","438.35","2,12,57,464","12,85,21,61,189.30","4,45,908"
"06-Feb-2023","EQ","556.00","565.95","543.05","524.95","557.00","558.30","556.16","984.50","438.35","91,44,444","5,08,57,56,512.15","2,14,349"
"03-Feb-2023","EQ","548.40","548.40","522.50","545.65","529.90","524.95","532.09","994.00","438.35","37,48,704","1,99,46,49,456.60","80,006"
"02-Feb-2023","EQ","530.00","548.00","525.00","523.85","545.80","545.65","539.80","994.00","438.35","42,22,114","2,27,90,77,108.85","98,576"
"01-Feb-2023","EQ","535.00","543.70","515.25","530.90","523.00","523.85","531.36","994.00","438.35","23,59,385","1,25,36,80,313.50","70,174"
"31-Jan-2023","EQ","536.75","537.95","527.55","534.10","529.90","530.90","531.03","994.00","438.35","12,20,594","64,81,71,580.40","45,600"
"30-Jan-2023","EQ","516.00","537.00","511.80","513.40","533.00","534.10","526.62","994.00","438.35","22,11,058","1,16,43,92,403.65","80,653"
"27-Jan-2023","EQ","535.65","540.85","508.10","532.95","513.50","513.40","521.68","994.00","438.35","25,03,278","1,30,59,13,859.80","75,297"
"25-Jan-2023","EQ","544.00","546.85","528.50","543.55","533.50","532.95","535.43","994.00","438.35","25,49,852","1,36,52,74,422.40","67,554"
"24-Jan-2023","EQ","548.00","556.20","540.00","544.05","542.20","543.55","547.36","994.00","438.35","30,41,229","1,66,46,55,593.00","86,213"
"23-Jan-2023","EQ","550.85","567.65","537.30","550.85","545.00","544.05","552.08","994.00","438.35","44,83,048","2,47,50,18,831.25","1,15,930"
"20-Jan-2023","EQ","534.65","555.00","532.35","531.95","548.80","550.85","548.71","1,145.90","438.35","58,02,036","3,18,36,23,524.80","1,30,666"
"19-Jan-2023","EQ","531.80","535.10","530.05","531.70","533.00","531.95","532.86","1,145.90","438.35","14,05,912","74,91,58,047.30","42,239"
"18-Jan-2023","EQ","529.00","535.90","528.95","526.10","532.00","531.70","533.21","1,145.90","438.35","26,01,169","1,38,69,65,790.90","64,810"
"17-Jan-2023","EQ","556.00","556.70","522.65","553.55","523.70","526.10","535.01","1,145.90","438.35","53,66,596","2,87,12,07,023.00","1,32,106"
"16-Jan-2023","EQ","561.00","565.80","549.90","560.10","553.00","553.55","559.42","1,145.90","438.35","25,54,765","1,42,91,91,523.85","61,791"
"13-Jan-2023","EQ","543.50","564.90","533.35","543.20","560.50","560.10","549.68","1,230.00","438.35","94,74,010","5,20,76,65,552.80","1,74,808"
"12-Jan-2023","EQ","574.95","578.65","528.10","579.15","543.50","543.20","540.64","1,230.00","438.35","3,54,91,005","19,18,79,54,952.00","1,67,556"
"11-Jan-2023","EQ","575.55","583.75","571.60","575.55","577.30","579.15","579.31","1,230.00","438.35","34,48,969","1,99,80,07,597.70","85,383"
"10-Jan-2023","EQ","564.00","581.70","553.65","563.90","574.55","575.55","566.05","1,230.00","438.35","42,68,046","2,41,59,40,629.00","1,08,083"
"09-Jan-2023","EQ","566.20","574.50","562.00","551.35","564.00","563.90","566.60","1,230.00","438.35","51,76,059","2,93,27,41,800.85","91,677"
"06-Jan-2023","EQ","540.00","563.65","540.00","541.50","555.00","551.35","555.37","1,350.00","438.35","69,79,771","3,87,63,56,010.00","1,29,118"
"05-Jan-2023","EQ","543.50","544.20","533.85","540.30","536.40","541.50","539.61","1,350.00","438.35","15,26,010","82,34,55,200.75","35,885"
"04-Jan-2023","EQ","535.05","544.95","531.55","535.45","539.80","540.30","541.05","1,350.00","438.35","31,54,582","1,70,67,90,692.05","52,129"
"03-Jan-2023","EQ","532.50","536.35","532.00","532.10","535.20","535.45","534.72","1,350.00","438.35","12,13,174","64,87,13,167.50","45,417"
"02-Jan-2023","EQ","531.00","536.85","527.05","531.00","532.35","532.10","531.06","1,350.00","438.35","12,63,767","67,11,30,277.10","35,379"
"30-Dec-2022","EQ","529.75","541.00","528.00","527.20","530.70","531.00","533.91","1,379.15","438.35","17,58,215","93,87,31,303.65","44,952"
"29-Dec-2022","EQ","530.00","534.00","523.35","535.55","526.70","527.20","527.45","1,379.15","438.35","19,97,736","1,05,37,03,533.15","56,415"
"28-Dec-2022","EQ","513.00","541.70","511.10","512.85","535.00","535.55","533.59","1,379.15","438.35","68,67,457","3,66,43,72,260.35","1,31,298"
"27-Dec-2022","EQ","509.00","517.80","509.00","504.35","513.00","512.85","513.19","1,379.15","438.35","18,37,698","94,30,89,403.15","50,385"
"26-Dec-2022","EQ","479.00","510.00","479.00","476.10","507.00","504.35","498.72","1,379.15","438.35","33,65,041","1,67,82,16,966.80","81,617"
"23-Dec-2022","EQ","501.95","504.00","472.00","506.55","474.85","476.10","486.02","1,385.00","438.35","33,28,475","1,61,76,95,792.25","77,665"
"22-Dec-2022","EQ","521.00","522.40","505.00","517.10","506.05","506.55","510.24","1,385.00","438.35","18,25,136","93,12,64,079.00","35,199"
"21-Dec-2022","EQ","529.40","532.80","515.50","526.75","516.00","517.10","523.03","1,385.00","438.35","17,98,202","94,05,07,698.60","29,639"
"20-Dec-2022","EQ","523.50","529.40","523.00","523.50","526.00","526.75","526.49","1,385.00","438.35","17,79,152","93,67,10,079.80","35,345"
"19-Dec-2022","EQ","528.90","532.35","522.50","528.00","523.00","523.50","525.53","1,385.00","438.35","16,18,011","85,03,17,077.00","29,709"
"16-Dec-2022","EQ","531.70","534.05","524.50","531.70","528.50","528.00","528.34","1,578.75","438.35","20,96,590","1,10,77,21,430.80","38,902"
"15-Dec-2022","EQ","531.85","536.90","530.00","529.20","530.55","531.70","533.51","1,578.75","438.35","31,70,404","1,69,14,53,491.40","57,680"
"14-Dec-2022","EQ","544.00","547.00","525.05","539.40","529.80","529.20","533.62","1,578.75","438.35","74,99,632","4,00,19,23,511.05","1,15,618"
"13-Dec-2022","EQ","535.00","545.00","533.25","528.75","538.40","539.40","538.94","1,578.75","438.35","56,99,433","3,07,16,42,003.75","81,620"
"12-Dec-2022","EQ","544.60","554.45","525.05","544.60","529.60","528.75","539.40","1,578.75","438.35","77,50,318","4,18,05,09,975.20","1,15,607"
"09-Dec-2022","EQ","544.00","548.00","527.55","508.20","544.75","544.60","538.91","1,680.05","438.35","2,04,23,508","11,00,63,59,419.10","2,53,598"
"08-Dec-2022","EQ","512.45","515.95","506.00","509.90","508.25","508.20","509.57","1,680.05","438.35","30,79,727","1,56,93,39,912.85","49,449"
"07-Dec-2022","EQ","516.75","523.40","506.10","514.65","509.00","509.90","512.83","1,680.05","438.35","50,01,636","2,56,49,73,724.00","78,206"
"06-Dec-2022","EQ","523.00","528.00","511.75","523.35","515.75","514.65","518.80","1,680.05","438.35","53,21,487","2,76,07,80,867.35","78,687"
"05-Dec-2022","EQ","543.75","548.70","521.20","536.95","523.00","523.35","533.29","1,680.05","438.35","1,22,61,228","6,53,87,62,707.30","1,74,792"
"02-Dec-2022","EQ","507.50","543.65","507.50","501.05","539.75","536.95","525.55","1,810.00","438.35","2,17,31,464","11,42,09,41,928.05","2,73,483"
"01-Dec-2022","EQ","486.50","504.70","485.25","481.70","500.50","501.05","497.35","1,810.00","438.35","1,29,60,605","6,44,59,59,691.55","1,80,057"
"30-Nov-2022","EQ","485.00","488.50","477.20","483.90","481.35","481.70","483.01","1,810.00","438.35","70,92,034","3,42,55,24,593.80","94,701"
"29-Nov-2022","EQ","476.00","486.90","471.15","461.50","482.80","483.90","479.43","1,810.00","438.35","1,46,99,496","7,04,74,04,394.00","1,74,358"
"28-Nov-2022","EQ","444.00","479.50","441.00","465.20","465.00","461.50","465.48","1,810.00","438.35","1,95,92,854","9,11,99,85,445.60","2,63,901"
"25-Nov-2022","EQ","454.00","475.30","448.00","441.10","467.00","465.20","463.39","1,873.70","438.35","1,99,70,739","9,25,42,94,639.30","2,78,212"
"24-Nov-2022","EQ","457.05","467.00","440.00","452.40","441.15","441.10","452.31","1,873.70","438.35","1,63,15,961","7,37,98,16,441.40","2,38,571"
"23-Nov-2022","EQ","480.90","488.70","438.35","476.80","450.00","452.40","465.69","1,873.70","438.35","1,72,32,998","8,02,52,45,062.40","2,89,311"
"22-Nov-2022","EQ","535.00","537.00","474.30","537.00","475.55","476.80","491.19","1,873.70","474.30","2,24,14,284","11,00,95,96,755.25","4,25,266"
"21-Nov-2022","EQ","546.00","553.00","531.75","547.00","532.35","537.00","543.22","1,873.70","510.05","29,86,439","1,62,22,79,329.25","55,098"
"18-Nov-2022","EQ","542.50","553.10","526.90","539.80","546.40","547.00","542.96","1,955.00","510.05","1,12,95,660","6,13,30,84,165.85","1,63,174"
